het;het;het
hoeveel;hoeveel;hoeveel
ding;ding;dingen
schiet;schiet;schieten
vijf;vijf;vijf
spreken;spreken;spreken
sprak;sprak;spreken
gesproken;gesproken;spreken
spreek;spreek;spreken
spreekt;spreekt;spreken
spraakt;spraakt;spreken
spraken;spraken;spreken
spreke;spreke;spreken
sprake;sprake;spreken
sprekend;sprekend;spreken
help;help;helpen
gemaakt;gemaakt;maken
blij;blij;blij
ligt;ligt;liggen
prima;prima;prima
lekker;lekker;lekker
kamer;kamer;kamer
hoofd;hoofd;hoofd
oude;oude;oude
zoeken;zoeken;zoeken
zocht;zocht;zoeken
gezocht;gezocht;zoeken
zoek;zoek;zoeken
zoekt;zoekt;zoeken
zochten;zochten;zoeken
zoeke;zoeke;zoeken
zochte;zochte;zoeken
zoekend;zoekend;zoeken
stad;stad;stad
werkt;werkt;werken
vond;vond;vinden
geloven;geloven;geloven
geloofde;geloofde;geloven
geloofd;geloofd;geloven
geloof;geloof;geloven
gelooft;gelooft;geloven
geloofden;geloofden;geloven
gelove;gelove;geloven
gelovend;gelovend;geloven
kleine;kleine;kleine
slecht;slecht;slechten
pijn;pijn;pijn
jezelf;jezelf;jezelf
blijft;blijft;blijven
kans;kans;kans
schat;schat;schatten
ogen;ogen;ogen
oogde;oogde;ogen
geoogd;geoogd;ogen
oog;oog;ogen
oogt;oogt;ogen
oogden;oogden;ogen
oge;oge;ogen
ogend;ogend;ogen
welke;welke;welke
verteld;verteld;vertellen
manier;manier;manier
ergens;ergens;ergens
mooie;mooie;mooie
moment;moment;moment
kent;kent;kennen
breng;breng;brengen
tussen;tussen;ertussen
ertussen;ertussen;ertussen
hiertussen;hiertussen;ertussen
daartussen;daartussen;ertussen
waartussen;waartussen;ertussen
brengen;brengen;brengen
bracht;bracht;brengen
gebracht;gebracht;brengen
breng;breng;brengen
brengt;brengt;brengen
brachten;brachten;brengen
brenge;brenge;brengen
brachte;brachte;brengen
brengend;brengend;brengen
spelen;spelen;spelen
speelde;speelde;spelen
gespeeld;gespeeld;spelen
speel;speel;spelen
speelt;speelt;spelen
speelden;speelden;spelen
spele;spele;spelen
spelend;spelend;spelen
deur;deur;deur
school;school;scholen
minuten;minuten;minuten
vrouwen;vrouwen;vrouwen
broer;broer;broer
boven;boven;daarboven
erboven;erboven;daarboven
hierboven;hierboven;daarboven
daarboven;daarboven;daarboven
waarboven;waarboven;daarboven
water;water;wateren
dokter;dokter;dokter
land;land;landen
vier;vier;vieren
praat;praat;praten
bed;bed;bed
hulp;hulp;hulp
zaak;zaak;zaak
klopt;klopt;kloppen
groot;groot;groot
juist;juist;juist
week;week;weken
dollar;dollar;dollar
sta;sta;staan
zoveel;zoveel;zoveel
wees;wees;zijn
vrij;vrij;vrijen
problemen;problemen;problemen
later;later;later
vergeten;vergeten;vergeten
vergat;vergat;vergeten
vergeet;vergeet;vergeten
vergaten;vergaten;vergeten
vergete;vergete;vergeten
vergate;vergate;vergeten
vergetend;vergetend;vergeten
vooruit;vooruit;vooruit
kop;kop;koppen
bellen;bellen;bellen
belde;belde;bellen
gebeld;gebeld;bellen
bel;bel;bellen
belt;belt;bellen
